yes,staple,not_vegan,gluten,sweetener,cuisine,flavor,season,flavoring_sweet,flavoring_fresh,flavoring_wet,flavoring_concentrate,flavoring,flavoring_dry,protein,protein_cheese_sub,protein_milk_sub,protein_meat_sub,protein_bean,veg,veg_leafy,grain,grain_flour,fat_oil,oil,fat,fruit,fruit_berry,meal,salad,salad_green,salad_extra,salad_dressing,salad_dressing_oil,salad_dressing_salt,salad_dressing_pepper,salad_dressing_garlic,salad_dressing_vinegar,method,protein_nut_seed,protein_nut,protein_seed,salad_extra_tomato,salad_extra_olive,salad_extra_cheese,salad_extra_crouton,salad_extra_egg,salad_extra_other,redirect,salad_basic,salad_starter,salad_umbrella,umbrella_that_pairs,useful_umbrella,salad_allium,name,pairs_with,phonetic,flavor,techniques,dishes,volume,tip,possible_substitutes,flavor_affinities,nutritional_profile,calories,season,botanical_relatives,protein,what_they_are,brands,vegan_substitutes,vegan_brands
y,y,,,,,,,,,,,,,y,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,y,,,,,,,"MUSHROOMS, WHITE (see MUSHROOMS, BUTTON)",,,,,,,,,,,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,y,,,,,,NECTARINES (see also tips for PEACHES),"baked goods, e.g., breads, cakes

basil

BERRIES, e.g., blackberries, blueberries, RASPBERRIES, strawberries

brandy

butter

buttermilk

caramel

cereals, hot breakfast

cheese, e.g., blue, mozzarella

cherries

cinnamon

cloves

cream

desserts, e.g., crisps, fruit cobblers, shortcakes

figs

GINGER

greens, salad

hazelnuts

honey

ice creams

LEMON, e.g., juice

mangoes

maple syrup

mascarpone

melon, e.g., cantaloupe

mint

nutmeg

NUTS, e.g., ALMONDS, hazelnuts, macadamias

oats or oatmeal

oil, olive

orange

pancakes

peaches

pepper, black

pies

plums

relishes

rosemary

salads, e.g., fruit and green

salsas

sorbets

soups, e.g., fruit

SUGAR, e.g., brown

tarragon

VANILLA

vinegar, e.g., balsamic

wine, e.g., red or white, still or sparkling, e.g., Champagne

yogurt",,"Flavor: sweet, with a juicy texture","Techniques: bake, broil, grill, poach, raw, sauté",,Volume: quiet–moderate,Tip: Opt for organic nectarines.,Possible substitute: peaches,"Flavor Affinities


nectarines + almonds + caramel

nectarines + balsamic vinegar + basil

nectarines + caramel + ginger

nectarines + ginger + lemon",Nutritional profile: 86% carbs / 8% protein / 6% fats,"Calories: 65 per 1-cup serving (raw, sliced)",Season: summer,"Botanical relatives: apricots, peaches, plums",Protein: 2 grams,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,NORI (aka LAVER),"arugula, e.g., micro

asparagus

AVOCADO

barley, e.g., hulled, pearled

beans, e.g., haricots verts

bell peppers, red

burdock

carrots

chayote

chili pepper flakes

cilantro

CUCUMBER

daikon

eggs, e.g., omelets

ginger, pickled

GRAINS, WHOLE, e.g., brown rice, hulled barley, pearl barley, quinoa, rye berries

greens, dandelion

Japanese cuisine

kiwi

kombu

macrobiotic cuisine

mango

mirin

miso

MUSHROOMS, e.g., enoki, shiitake

noodles, e.g., soba, udon

NORI ROLLS

onions

popcorn

RICE, esp. black, brown, Japanese, red, short-grain, sticky, sushi, white

rice balls

rye berries

SALADS, e.g., bean, grain, green

salt, sea

scallions

sea vegetables

SESAME SEEDS, e.g., white

shiso

snow peas

SOUPS

SOY SAUCE

spinach

sprouts, e.g., alfalfa

stews

SUSHI, VEGETARIAN

sweet potato

tamari

tempeh

teriyaki sauce

tofu

umeboshi and umeboshi paste

vegetables

VINEGAR, e.g., brown rice, rice wine

wakame

WASABI",[NOR-ee],"Flavor: salty, with notes of the sea, and the texture of handmade paper",,,Volume: quiet (as is)–moderate (after toasting),"Tips: Lightly toast the dried seaweed sheet before using, by waving it over an open flame on your stovetop, which enhances its flavor and texture. At traditional sushi restaurants, vegetarian options typically include white or brown short-grain sticky rice rolls filled with avocado and/or cucumber. However, New York City’s Beyond Sushi features iron-rich six-grain rice—a delicious medley of rye berries, barley, pearl barley, brown rice, red rice, and black rice.",,"Flavor Affinities


Nori roll combinations = nori + sticky rice + any of the groups listed below:

alfalfa sprouts + avocado + sweet potato

almonds + spinach + tofu

avocado + carrots + cucumbers

avocado + chayote + chiles + cilantro

avocado + cucumber + mango

avocado + pickled ginger + shiitake mushrooms

cucumber + daikon + umeboshi paste

cucumber + shiitake mushrooms + spinach

cucumber + tofu + wasabi

mushrooms + teriyaki sauce + tofu",Nutritional profile: 53% carbs / 40% protein / 7% fats,Calories: 1 calorie per sheet,,,,,,,
y,y,,,,,,,,,,,y,y,y,y,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,y,,y,,,,,,NUTRITIONAL YEAST (aka affectionately as NOOCH),"almonds

arrowroot

artichokes

barley

beans

bread, garlic

breadings

broccoli

cashews, raw

casseroles

chard

cheeses, nondairy, e.g., nut

dips

dressings

garlic, e.g., fresh, powder

gravies

hummus

kelp powder

lemon, e.g., juice

macaroni

milk, nondairy

mustard, e.g., Dijon

nuts, raw, e.g., cashews, macadamia

oil, e.g., grapeseed, olive

onion, e.g., powder

paprika

pastas

pepper, black

pizza

POPCORN

potatoes, e.g., baked

rice

salad dressings

salads

salt, e.g., sea

SAUCES, e.g., “cheese-y”

sesame seeds

soups

spinach

spreads

stews

stocks, vegetable

tamari

thyme

tofu, e.g., scrambles

turmeric

vegetables",,"Flavor: savory/umami, with rich notes of CHEESE (esp. untoasted), chicken stock (esp. toasted), and/or nuts",,,Volume: quiet–moderate,,,"Flavor Affinities


nutritional yeast + Dijon mustard + garlic + nondairy milk

nutritional yeast + garlic + lemon + mustard

nutritional yeast + garlic + onion + sesame seeds

nutritional yeast + pasta + soy milk

nutritional yeast + tofu + turmeric",,Calories: 30 per 1-tablespoon serving,,,Protein: 4 grams,,Brand: Red Star,,
y,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,y,y,,,,,,,,y,y,,,,,,"NUTS (see also ALMONDS, CASHEWS, PEANUTS, WALNUTS, etc.)",,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,y,y,,,,,,,,,,,,,,,"NUTS, BRAZIL","apples

baked goods, e.g., cakes, cookies, pies

cereals, hot breakfast

chocolate

dates

desserts

figs

nuts, mixed

piecrusts

raisins

salads

smoothies

snacks

stuffings

trail mix",,"Flavor: nutty, with tropical (e.g., coconut, macadamia) notes, and a very rich texture",,,Volume: moderate,Tip: Avoid too-high levels of selenium (which can be toxic) by not eating more than two Brazil nuts per day.,,,,Calories: 185 per 1-ounce serving,,,Protein: 4 grams,,,,
y,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,y,y,,,,,,,,,,,,,,,"NUTS, MACADAMIA","almonds

baked goods, e.g., breads, cookies, muffins

bananas

broccoli

cabbage

chiles, e.g., chipotle

CHOCOLATE, e.g., DARK, white

cinnamon

coconut and coconut milk

coffee

desserts

fruits, dried, e.g., cranberries

garlic

ginger

grapes

HAWAIIAN CUISINE

hazelnuts

honey

ice cream

kiwi

lemon

lime

mangoes

nectarines

oats and oatmeal

orange

pancakes

papaya

pears

pestos

pineapple

rice, e.g., basmati, wild

rum

salads

salsas, e.g., pineapple

sauces, e.g., chocolate, nut

soups

spreads

starfruit

stir-fries

strawberries

sugar, brown

tangerines

vanilla",,"Flavor: salty (esp. if salted) / slightly sweet, with notes of butter, and a rich, creamy/crunchy texture",,,Volume: moderate–loud,,,"Flavor Affinities


macadamia nuts + chocolate + coffee

macadamia nuts + coconut + white chocolate",Nutritional profile: 88% fat / 8% carbs / 4% protein,Calories: 205 per 1-ounce serving,,,Protein: 2 grams,,,,
y,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,,,,,,,,,,,,,,,,,,,,,"OIL, COCONUT","agave nectar

almonds and almond butter

Asian cuisines

baked goods, e.g., cakes, cookies

chocolate and cocoa powder

coconut

confections, e.g., truffles

coriander

curries

desserts, e.g., raw

doughnuts

garlic

ginger

greens, e.g., bitter

“ice creams”

icings

Indian cuisine

lime

nutmeg

oatmeal

onions

popcorn

scallions

Southeast Asian cuisines

stir-fries

sweet potatoes",,"Flavor: notes of coconut, cream, nuts, and/or vanilla, with a rich, creamy texture",,,Volume: quiet–moderate,"Tip: Opt for virgin, non-hydrogenated coconut oil.",,"Flavor Affinities


coconut oil + almonds + cocoa powder + coconut

coconut oil + coriander + ginger",,,,,,,Brand: Omega,,
y,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,,,,,,,,,,,,,,,,,,,,,"OIL, FLAXSEED","artichokes

bell peppers, e.g., roasted red

bread

cereals, breakfast

herbs

lemon

mustard, Dijon

popcorn

porridges

rice

SALAD DRESSINGS

salads

sauces

smoothies

spreads

vinegar, apple cider",,,,,,Tips: Flaxseeds are said to be even higher in lignans than flaxseed oil is. Heating flaxseed oil destroys its nutrients. Store in the refrigerator.,,"Flavor Affinities


flaxseed oil + apple cider vinegar + lemon juice

flaxseed oil + herbs + red wine vinegar",,,,,,,,,
y,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,,,,,,,,,,,,,,y,y,,,,,,"OIL, NUT (see OIL, ALMOND; OIL, HAZELNUT; OIL, PISTACHIO; OIL, WALNUT)",,,,,,,,,,,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,,,,,,,,,,,,,,,y,,,,,,"OIL, OLIVE","almonds

arugula

baked goods, esp. Italian, e.g., cakes, cookies, piecrusts

basil

beans, e.g., cannellini, white

beets

bread and breadcrumbs

bruschetta

capers

cheese, e.g., mozzarella, Parmesan, pecorino

chickpeas

chiles

citrus

coriander

cornmeal

cumin

dressings

eggplant

eggs, e.g., fried

fennel

French cuisine, e.g., Provençal

GARLIC

greens, bitter and salad

herbs, e.g., fresh

hummus

Italian cuisine

LEMONS, e.g., juice, zest

limes, e.g., juice, zest

marinades

mayonnaises

Mediterranean cuisines

Middle Eastern cuisines

Moroccan cuisine

mushrooms, e.g., portobello

mustard, e.g., Dijon

oils, other, e.g., hazelnut, walnut

olives

onions

oranges, e.g., juice, zest

parsley

pastas

pepper, black

pesto

pine nuts

pizzas

potatoes

rosemary

salad dressings, e.g., vinaigrettes

salads, e.g., bean, green, panzanella, pasta, potato

salt

sauces, e.g., cold

sautéed dishes

soups

Spanish cuisine

thyme

tomatoes

vegetables

vinegar, e.g., balsamic, champagne, fruit, red wine, sherry, white wine

walnuts",,"Flavor: earthy notes of fruit and/or olives, with a rich texture","Techniques: bake, fry, raw, sauté (on low heat)",,"Volume: quieter (e.g., lighter-colored virgin)–louder (e.g., deeper-colored extra-virgin)","Tips: Use raw, or warm only to low temperatures. Opt for lighter, quieter virgin (aka “pure”) oil for baking, frying, grilling, roasting, and sautéing, and darker, louder extra-virgin oil for dressing salads or drizzling on bruschetta or pizza. For salad dressings, the typical ratio is one part vinegar to three or four parts extra-virgin olive oil, but those looking to lower the fat in their diets (not to mention calories) should consider using less oil.",,"Flavor Affinities


olive oil + basil + chili pepper flakes + garlic + tomatoes

olive oil + basil + garlic + Parmesan cheese + pine nuts

olive oil + garlic + parsley

olive oil + garlic + red wine vinegar

olive oil + salt + vegetables",,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,,,,,,,,,,,,,,,y,,,,,,"OIL, SESAME","ASIAN CUISINES

baked goods

beans, e.g., green

Chinese cuisine

dips and dipping sauces

dressings

garlic

ginger

grains

greens

Japanese cuisine

Korean cuisine

lemon, e.g., juice

lime, e.g., juice

MARINADES

mirin

miso

mustard, e.g., Dijon

noodles, e.g., Asian

oil, other, e.g., canola, olive, sunflower

orange

pastas

pumpkin

SALAD DRESSINGS, e.g., Asian

salads, e.g., Asian, green, noodle

SAUCES

SEEDS, SESAME

soups, e.g., miso

SOY SAUCE

STIR-FRIES

sugar snap peas

tamari

tofu

vinegar, e.g., apple cider, rice",,"Flavor: aromatic, with notes of nuts, and a rich texture",,,Volume: moderate (light)–loud (dark),"Tips: Use light sesame oil for low- to medium-heat cooking (e.g., baking, sautéing), and dark (roasted or toasted) sesame oil primarily drizzled on as a seasoning, to finish raw or cooked dishes. Buy sesame oil fresh, and use within one year.",,"Flavor Affinities


sesame oil + garlic + ginger + mirin + soy sauce",,,,,,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,y,,,,,,"OLIVES, KALAMATA","artichoke hearts

basil

bell peppers

capers

caponata

cardoons

chard, Swiss

cheese, e.g., feta

chickpeas

chili pepper flakes

cucumbers

cumin

GARLIC

GREEK CUISINE

herbs

leeks

lemon, e.g., juice, zest

miso

mushrooms

mustard, Dijon

OIL, OLIVE

onions

orange, e.g., zest

oregano

paprika

parsley

pasta, e.g., linguini, penne, rigatoni

pastes, olive

pepper, black

pizza

polenta

potatoes, e.g., red

rosemary

salad dressings

salads, e.g., Greek, spinach

salt, sea

sauces, e.g., pasta, puttanesca

scallions

spinach

spreads

tapenades

tofu, e.g., extra-firm, soft

tomatoes and tomato sauce

tomatoes, sun-dried

vinegar, e.g., red wine

wine, dry",[kah-lah-MAH-tah],"Flavor: salty, with notes of fruit and/or wine, and a rich, meaty texture",,,Volume: loud,,,"Flavor Affinities


kalamata olives + artichoke hearts + sun-dried tomatoes

kalamata olives + basil + capers

kalamata olives + bell peppers + cucumbers + feta cheese + tomatoes

kalamata olives + capers + pasta + tomatoes

kalamata olives + chili pepper flakes + garlic + lemon + olive oil + orange + oregano

kalamata olives + Dijon mustard + garlic + lemon

kalamata olives + garlic + rosemary",,,,,,What they are: black or dark purple Greek olives cured in a salted vinegar brine,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,,,,,,,"OLIVES, MANZANILLA (aka SPANISH OLIVES)","almonds, e.g., Spanish

cocktails, e.g., martinis

garlic

oil, olive

pimento

pizza

salads

Spanish cuisine",,"Flavor: salty, with notes of nuts (esp. almonds) and/or smoke, and a firm, rich, meaty texture",,,Volume: moderate–loud,,,,,,,,,What they are: smallish green brine-cured Spanish olives,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,,,,,,,"OLIVES, NIÇOISE","beans, e.g., green, white

French cuisine, esp. Provençal

herbs

lemon, e.g., juice, zest

lettuce, e.g., romaine

onions

oranges, e.g., blood

pastes, olive

potatoes

rosemary

salads, e.g., niçoise, vegetable

salt

tapenades

thyme",,"Flavor: sour, with nutty notes, and a rich texture",,,Volume: quiet–moderate,,Possible substitute: kalamata olives,,,,,,,What they are: small black olives from southern France,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,y,,,,,,"OLIVES, PICHOLINE","artichokes

avocadoes

bay leaf

chickpeas

citrus, e.g., lemon, orange

fennel

French cuisine, esp. Provençal

garlic

lemon

mustard

oil, olive

onions, e.g., red

orange

salads, e.g., egg, fennel, green

thyme

vinegar",,"Flavor: notes of anise and/or nuts, and a crisp texture",,,Volume: moderate,,,,,,,,,What they are: green olives from the south of France,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,y,"ONIONS, CIPOLLINI","bay leaf

cinnamon

honey

Italian cuisine

kebabs

oil, olive

onions, other

pastas

raisins

rosemary

sage

salads

sauces

shallots

stock, vegetable

sugar, e.g., brown

thyme

vinegar, e.g., balsamic, champagne, sherry

wine, dry red",,Flavor: sweet,"Techniques: glaze, grill, roast",,,,,,,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,y,,,,,,y,"ONIONS, GREEN (see SCALLIONS)",,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,y,"ONIONS, PEARL","breadcrumbs

Brussels sprouts

burdock

carrots

casseroles

cream

garlic

grains, e.g., barley, couscous

gratins

kebabs

lentils

mushrooms, e.g., porcini, portobello

oil, e.g., olive

parsley

pasta

potatoes

rice

rosemary

salads

sauces

shallots

soups, e.g., mushroom

spinach

stews

stock, e.g., mushroom, vegetable

tempeh

vinegar, e.g., balsamic",,Flavor: sweet,,,Volume: quiet,,,"Flavor Affinities


pearl onions + cream + spinach",,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,,,,y,"ONIONS, RED (see also ONIONS)","avocado

beans, e.g., black

beets

carrots

cauliflower

celery

cheese, e.g., blue, feta, goat, Jack, Parmesan

chickpeas

cilantro

eggs, e.g., frittatas

fennel

fruits, e.g., apples, mangoes, melons, oranges, papayas, peaches, pineapple

garlic

ginger

honey

jícama

lemon, e.g., juice

lime, e.g., juice, zest

maple syrup

miso, e.g., dark or red

mushrooms, e.g., portobello

OIL, OLIVE

olives

onion rings

orange, e.g., juice, zest

parsley

pepper, black

pizza

potatoes

quesadillas

SALADS, e.g., green, potato, tomato

SALSAS, e.g., fruit, tomato

salt, e.g., kosher, sea

soups

squash, winter, e.g., butternut

stock, vegetable

sweet potatoes

thyme

tomatoes

veggie burgers

VINEGAR, e.g., balsamic, red wine, rice wine, sherry, white wine

wine, e.g., dry red",,"Flavor: slightly sweet, with a firmer, drier texture than that of yellow onions","Techniques: can be eaten raw, as in salads—otherwise: grill, roast","Dishes


Potato, Spring Onion, and Celeriac Soup, with Pear, Celery, Lemon, and Chives

—Natural Selection (Portland, OR)",Volume: quiet,"Tip: The quiet flavor of red onions works well with fruits as well as quieter and/or sweeter vegetables and legumes, not to mention served raw in salads and salsas or on sandwiches and veggie burgers.",,"Flavor Affinities


red onions + balsamic vinegar + olive oil

red onions + basil + tomatoes

red onions + chiles + cilantro + olive oil + vinegar

red onions + chiles + corn + garlic + lime + tomatoes

red onions + corn + tomatoes

red onions + cranberries + ginger + orange

red onions + feta cheese + pine nuts

red onions + jícama + orange

red onions + lemon + olive oil + Parmesan cheese + parsley + salads

red onions + lime + mint

red onions + miso + vegetable stock

red onions + red wine vinegar + thyme",,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,,,,y,"ONIONS, SPRING (see also SCALLIONS)",,,,,,,"Tip: Spring onions refers to both green onions (small and mild) and scallions (smaller and milder), which are immature onions. They can typically be used interchangeably.",,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,y,"ONIONS, VIDALIA","basil

breadcrumbs

cheese, e.g., blue, goat, Parmesan

garlic

mustard, Dijon

oil, olive

pepper, black

pine nuts

salt

sauces

stuffed onions

thyme

vinegar, e.g., balsamic, red wine

wine, dry white

zucchini",,"Flavor: sweet–very sweet, with a juicy texture",,,Volume: quiet–moderate,,,,,,Season: spring–summer,,,"What they are: Georgia’s “state vegetable,” famed as the world’s sweetest onions",,,
y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,"ORANGES, BLOOD (see also ORANGES)","almonds

arugula

avocado

beets

beverages, e.g., juices, mimosas

Brussels sprouts

caramel

cheese, e.g., blue, feta, goat

chicory

chiles

chocolate, e.g., white

cilantro

cinnamon

citrus, other, e.g., limes, regular oranges

cloves

cream

desserts, e.g., fruit tarts

endive

FENNEL

grains, e.g., quinoa

grapefruit

greens, salad

honey

ices/granitas

jícama

kiwi

kumquats

lemon

lettuce, e.g., romaine

mangoes

mint

oil, e.g., olive

olives, e.g., black

onions, red

papaya

pomegranates

poppy seeds

radishes, e.g., black

salad dressings

SALADS, e.g., fruit, green

salsas

sauces

spinach

sugar, e.g., brown

tangerines

thyme

vanilla

vinegar, e.g., balsamic, milder

walnuts

watercress

wine, sparkling, e.g., Champagne",,"Flavor: sour/sweet, with notes of raspberries",,,Volume: moderate,,,"Flavor Affinities


blood oranges + arugula + beets + walnuts

blood oranges + black olives + fennel + lemon juice + olive oil",,,Season: winter–spring,,,,,,
y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,y,,,,,,"ORANGES, MANDARIN","agave nectar

almonds

bananas

basil

berries

caramel

cashews

cheesecake

chili paste

Chinese cuisine

chives

chocolate, dark

cilantro

coconut

compotes

cranberries

cream

ginger

greens, salad

hazelnuts

hoisin sauce

ice creams

jícama

kumquats

lemon, e.g., juice

lettuce, e.g., romaine

lime

mangoes

mint

nutmeg

oil, e.g., flaxseed, olive

onions, e.g., red

orange, e.g., zest

parsley

peaches

pears

pecans

pepper, black

rice

salad dressings

SALADS, e.g., fruit, green, spinach

salsas

sauces

shallots

sorbets

spinach

strawberries

sugar, e.g., brown

tarts

tomatoes

vinegar, e.g., champagne, sherry

yogurt",,"Flavor: sweet/sour, with notes of orange, and a very juicy texture","Techniques: broil, raw","Dishes


Pasticcini with Caramel and Clementine Ice Creams, Toasted Hazelnuts, and Bittersweet Chocolate

—Chez Panisse (Berkeley, CA)



Enlightened Asian Salad: Sweet Clementines, Organic Edamame, and Sliced Almonds grace an invigorating blend of Organic Spring Mix, Red Cabbage, Carrots, Cucumbers, and Tomatoes; paired with our Sesame-Ginger Vinaigrette

—Wildflower (Millville, NJ)",Volume: moderate,,,"Flavor Affinities


mandarins + cilantro + lime + onions + tomatoes",Nutritional profile: 90% carbs / 5% protein / 5% fat,Calories: 50 per medium-sized mandarin (raw),Season: autumn–spring,"Botanical relatives and possible substitutes: clementines, oranges, tangerines",Protein: 1 gram,"What they are: Clementines and tangerines are varieties of mandarins, which are a smaller variety of oranges.",,,
y,y,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,y,,,,,,"ORANGES, ORANGE JUICE, and ORANGE ZEST","anise seeds

apples

apricots

Armagnac

arugula

Asian cuisines

asparagus

avocados

BAKED GOODS, e.g., cakes, muffins, quick breads, scones, tarts

bananas

barley, e.g., pearl

basil

beans, e.g., black, white

BEETS

berries, e.g., blueberries, raspberries, strawberries

beverages, e.g., juices, sangrias, smoothies

brandy

broccoli and broccolini

bulgur

cabbage, e.g., red

cardamom

CARROTS

celery root

cereals, hot breakfast

cheese, e.g., cream, feta, goat

chickpeas

chili pepper flakes

chiles, e.g., chipotle

Chinese cuisine (native ingredient)

chives

CHOCOLATE, e.g., dark, white

cilantro

CINNAMON

citrus fruits, other, e.g., grapefruit, lemon, lime

cloves

coconut

compotes

coriander

couscous

CRANBERRIES

cream

cumin

daikon

DATES

desserts, e.g., puddings

endive

escarole

FENNEL

figs

fruit, dried and fresh

garlic

GINGER

greens, e.g., dandelion, salad

“gremolata”

HONEY

horseradish

jícama

kiwi

lettuce, e.g., Bibb

liqueurs, orange, e.g., Cointreau, Grand Marnier

mangoes

maple syrup

marinades

marmalade

mascarpone

mesclun

millet

mint

miso

mushrooms, e.g., shiitake, wild

mustard, Dijon

noodles, Asian

NUTS, e.g., ALMONDS, cashews, hazelnuts, peanuts, PECANS, pine nuts, pistachios, WALNUTS

oil, e.g., olive, sunflower seed

OLIVES, e.g., black, kalamata

onions, e.g., green, red, Vidalia

oranges, blood

papayas

parsley

parsnips

pears

pepper, black

pineapple

plums

pomegranates

pumpkin

quinoa

radicchio

radishes

rhubarb

rice and wild rice

rosemary

rutabagas

sage

salad dressings

salads, e.g., avocado, carrot, fruit, green

sauces

scallions

seitan

sesame, e.g., oil, seeds

shallots

smoothies, e.g., berry, pineapple

snow peas

soups, e.g., fruit

sorbets

soy sauce

spinach

squash, e.g., butternut

star anise

starfruit

stir-fries

sugar, e.g., brown

sweet potatoes

tamari

tofu

turnips

vanilla

vinegar, e.g., balsamic, champagne, cider, red wine, rice wine, sherry, white wine

watercress

wine, e.g., red

yams

yogurt",,"Flavor: sour/sweet, with a very juicy texture","Techniques: poach, raw",,Volume: moderate–loud,Tips: Buy organic oranges. Lemon brightens the flavor of orange.,"Possible substitutes: clementines, mandarins, tangerines","Flavor Affinities


oranges + almonds + Bibb lettuce + jícama

oranges + almonds + dates + figs

oranges + arugula + hazelnuts

oranges + asparagus + couscous

oranges + avocados + beets

oranges + avocados + black beans + red onions

oranges + balsamic vinegar + beets + fennel

oranges + barley + fennel + radishes

oranges + black beans + quinoa

oranges + carrots + ginger

oranges + cashews + rice

oranges + chickpeas + couscous + fennel

oranges + chili pepper flakes + garlic + ginger + soy sauce

oranges + cilantro + jícama

oranges + cinnamon + honey + pears

oranges + cranberries + pears

oranges + dandelion greens + pine nuts

oranges + fennel + olives

oranges + fennel + parsley

oranges + fennel + walnuts

oranges + fennel + watercress + white beans

oranges + feta cheese + spinach

oranges + ginger + rice wine vinegar

oranges + goat cheese + pomegranates + walnuts

oranges + honey + rosemary

oranges + pecans + radicchio

oranges + sesame + spinach",Nutritional profile: 91% carbs / 7% protein / 2% fats,Calories: 65 per medium orange,"Season: year-round, esp. winter","Botanical relatives: grapefruit, kumquats, lemons, limes",Protein: 1 gram,,,,
y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,"PAPAYA (i.e., RED)","agave nectar

arugula

AVOCADOS

bananas

beans, e.g., black

bell peppers, red, esp. roasted

berries, e.g., raspberries, strawberries

Caribbean cuisines

carrots

cayenne

cheese, e.g., Mexican

CHILES, e.g., ancho, jalapeño, and chili pepper sauce

chutneys

CILANTRO

cinnamon

CITRUS, e.g., grapefruit, LEMON, *LIME

coconut

cucumbers

cumin

curries

daikon

garlic

GINGER

grapefruit

greens, salad

honey

ice creams

jams

jícama

kiwi

lavender

lemongrass

lettuce

MANGO

marinades

melon, e.g., cantaloupe, honeydew

MINT

nutmeg

nuts, e.g., almonds, cashews, macadamia nuts, peanuts

oil, olive

ONIONS, RED

orange, e.g., fruit, juice, zest

passion fruit

peaches

pineapple

rice

salad dressings

SALADS, e.g., fruit

SALSAS

salt

scallions

shallots

SMOOTHIES

sorbets

soy sauce

spinach

sprouts, mung bean

sugar, e.g., brown

summer rolls

tofu

tomatoes

tortillas, corn

vanilla

vinegar, e.g., rice wine, tarragon

yogurt",,"Flavor: sweet/sour, with musky notes of melon, and a soft, juicy texture (when ripe)","Techniques: bake, grill, raw, sauté",,Volume: quiet–moderate,"Tip: Avoid using with gelatin, as the fruit’s enzymes interfere with its setting.",,"Flavor Affinities


papaya + banana + honey

papaya + bananas + mangos + vanilla + yogurt

papaya + bananas + oranges

papaya + bell peppers + cilantro + lime + onions

papaya + cayenne + cilantro + lime

papaya + cayenne + greens + jicama + lemon + lime

papaya + chiles + cilantro + ginger

papaya + chiles + mango + mint + pineapple

papaya + cilantro + mango + scallions

papaya + coconut + rice

papaya + ginger + lime

papaya + ginger + mango + orange

papaya + honey + mint + yogurt

papaya + jícama + orange + red onions

papaya + kiwi + mango + pineapple

papaya + lime + mango + mint + orange

papaya + lime + mint

papaya + passion fruit + raspberries

papaya + strawberries + yogurt",Nutritional profile: 92% carbs / 5% protein / 3% fats,"Calories: 55 per 1-cup serving (raw, cubed)",Season: summer–autumn,,Protein: 1 gram,,,,
