ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
"GREENS, BITTER (see GREENS, BEET; GREENS, COLLARD; GREENS, DANDELION; GREENS, MUSTARD; KALE, etc.)",,,,,,,,,,,,,,,
"GREENS, COLLARD",,Flavor Affinities,"Techniques: blanch, boil, braise, julienne, marinate, raw, sauté (3–5 minutes), shred, simmer (60 minutes, or until tender), steam (3–5 minutes), stew, stir-fry","Dishes


Flourish Vegetable Pot Pie: Slow-Cooked Greens with Yogurt and Lemon

—Flourish Baking Company (Scarsdale, NY)



Maki: Raw Vegetables wrapped in Collard Greens, with Ponzu Sauce

—Mana Food Bar (Chicago)","African cuisines

agave nectar

allspice

almonds and almond butter

apples, e.g., cider, juice

barley, e.g., pearl

bay leaf

BEANS, e.g., black, cannellini, navy, pinto, white

beer

bell peppers, red

BLACK-EYED PEAS

buckwheat

bulgur

butter

cabbage, e.g., green, red

cardamom

carrots

celery

chickpeas

chiles, e.g., chipotle, jalapeño; chili pepper flakes, chili pepper sauce, and chili powder

cinnamon

citrus

cloves

coconut, e.g., butter, milk, water

collard wraps, i.e., stuffed with tofu, vegetables, etc.

corn bread

coriander

cream

cumin

curry powder and curry spices

dill

“dolmas”

dulse

Egyptian cuisine

Ethiopean cuisine

farro

GARLIC

ghee

ginger

grains

hazelnuts

Indian cuisine

Jamaican cuisine

kale

kamut

leeks

lemon, e.g., juice

lentils

liquid smoke

milk, coconut

mushrooms

mustard, Dijon

noodles, e.g., udon

nutmeg

OIL, e.g., canola, mustard, nut, olive, peanut (e.g., toasted), sesame (e.g., roasted)

olives

ONIONS, e.g., yellow

orange, e.g., juice

paprika, smoked

pasta, e.g., lasagna, whole-grain

peanuts and peanut butter

pepper, black

pine nuts

potatoes

quinoa

raisins

RICE, e.g., brown

salt, e.g., sea, smoked

scallions

seeds, e.g., hemp, sesame

sesame, e.g., oil, seeds

shallots

smoky-flavored foods, e.g., smoked paprika or tofu

soups, e.g., bean, lentil, sweet potato

sour cream

South American cuisines

SOUTHERN (U.S.) CUISINE

soy sauce

Spanish cuisine

squash, e.g., buttercup, kabocha

stews

stock, vegetable

stuffed collard greens

sushi rolls, vegetarian

sweet potatoes

tamari

tempeh

tofu

tomatoes

turmeric

vegetables, root

VINEGAR, e.g., apple cider, rice

wheat berries

zucchini",Volume: moderate (younger)–loud (older),"Tips: Opt for organic collard greens. Remove stems; cut leaves into two-inch pieces. Best long-braised or simmered, to soften.",,Nutritional profile: 68% carbs / 20% protein / 12% fat,"Calories: 10 per 1-cup serving (raw, chopped)",Season: autumn–spring,"Botanical relatives: broccoli, Brussels sprouts, cabbage, cauliflower, horseradish, kale, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 1 gram,,
"GREENS, DANDELION",,Flavor Affinities,"Techniques: boil, blanch, braise, raw (when young), sauté, steam, stew (when older), wilt","Dishes


Organic Dandelion and Avocado Salad, with Wasabi Dressing

—Hangawi (New York City)","almonds

apples

avocado

basil

beans, e.g., cannellini

beets

butter

carrots

casseroles

cayenne

celery

CHEESE, e.g., cheddar, goat, Gorgonzola, Gruyère, mozzarella, Parmesan, sheep’s milk

chickpeas

chiles, e.g., jalapeño; and chili pepper flakes

chives

croutons, e.g., whole-grain

curry powder

dill

eggs, e.g., frittatas, hard-boiled, quiches

endive

fennel

French cuisine

GARLIC

ginger

gratins

greens, other, e.g., milder, mustard

hazelnuts

hemp seeds

kale

LEMON, e.g., juice

lentils, e.g., red

lettuce, e.g., butter, romaine

maple syrup

Mediterranean cuisines

miso

mulberry

mushrooms, e.g., shiitake

mustard, e.g., Dijon

noodles, e.g., udon

oranges, e.g., blood

OIL, e.g., flaxseed, OLIVE, peanut, walnut

onions, e.g., raw, sliced

orange, e.g., juice

parsley

pasta, e.g., penne

peanuts

pepper, e.g., black

pine nuts

potatoes

raisins

risottos

sage

SALADS, e.g., dandelion, green, pasta

salt, e.g., sea

scallions

shallots

soups, e.g., vegetable

soy sauce

spinach

stews

stir-fries

strawberries

sunflower seeds

tarragon

tempeh

tomatoes, e.g., cherry

tomatoes, sun-dried

vegetables, milder

VINEGAR, e.g., balsamic, cider, raspberry, red wine, sherry

walnuts

wasabi",Volume: moderate–loud,"Tips: Salt before cooking. Put in boiling water (never cold water, which “sets” the bitterness). Combine with other, milder vegetables or miso to neutralize bitterness. Use young greens (which are milder and more tender) in salads.","Possible substitutes: chard, kale, mustard greens, spinach",Nutritional profile: 72% carbs / 15% protein / 13% fat,"Calories: 25 per 1-cup serving (raw, chopped)",Season: spring–early autumn,"Botanical relatives: artichokes, chamomile, chicory, endive, lettuces (e.g., Bibb, iceberg, romaine), radicchio, salsify, tarragon",Protein: 1 gram,,
"GREENS, LEAFY (see GREENS, BITTER; and GREENS, SALAD)",,,,,,,,,,,,,,What they are: bitter greens and salad greens,
"GREENS, MIZUNA",,Flavor Affinities,"Techniques: boil, braise, pickle, raw, sauté, simmer, steam, stir-fry",,"almonds

apples

arugula

asparagus

avocado

beans, e.g., fava

beets

carrots

celery

cheese, e.g., goat, pecorino

chestnuts

Chinese cuisine

chives

coriander

cranberries, dried

cucumbers

edamame

frisée

ginger

grains, e.g., quinoa

greens, milder salad

honey

Japanese cuisine

lemon

miso, e.g., dark, light

noodles, Asian, e.g., soba, somen

oil, e.g., olive, peanut, sesame

onions, green

orange, blood

pears, e.g., Asian

peas

plums

potatoes, e.g., new

radicchio

rice, e.g., brown

SALADS (esp. young leaves), e.g., Asian, green, noodle

seeds, e.g., pumpkin, sesame

SESAME, e.g., oil, seeds

soups, e.g., Asian

soy sauce

STIR-FRIES (esp. older leaves)

tahini

tamari

tatsoi

tempeh

tofu

tomatoes

vinegar, e.g., balsamic, rice wine, sherry",Volume: quiet (smaller leaves)–loud (larger leaves),,,,,Season: spring–summer,"Botanical relatives: coriander, mustard, parsley",,,
"GREENS, MUSTARD",,Flavor Affinities,"Techniques: boil, braise, grill, puree, raw, sauté, simmer, steam, stew, stir-fry, wilt",,"African cuisines

Asian cuisines

beans, e.g., kidney

black-eyed peas

bread crumbs

capers

carrots

cashews

cayenne

celery

cheese, e.g., goat, Gouda (smoked), Parmesan, ricotta

chickpeas

chiles, e.g., jalapeño; chili pepper paste, chili pepper flakes and chili powder

Chinese cuisine

cumin

currants

curry powder

dill

eggs

farro

frisée

GARLIC

ginger

grains

gratins

greens, other, e.g., dandelion, milder (e.g., spinach)

Indian cuisine

Japanese cuisine

kale

lemon, e.g., juice

mango

millet

miso

mizuna

molasses

mushrooms

noodles, e.g., Asian, soba

OIL, e.g., chili, mustard, OLIVE, peanut, sesame, sunflower seed

olives

ONIONS, e.g., green, red, yellow

oranges

peanuts and peanut butter

pears

pepper, black

pine nuts

potatoes

raisins

rice

salads, e.g., pasta, potato

salt, e.g., sea

sandwiches

sauces

scallions

sesame seeds

shallots

SOUPS, e.g., bean

Southeast Asian cuisines

Southern (U.S.) cuisine

soy sauce

stews

stir-fries

stock, e.g., vegetable

sweet potatoes

tamari

thyme

tofu

tofu scramble

tomatoes

vegetables, milder and/or sweeter

VINEGAR, e.g., apple cider, balsamic, red wine, white wine

walnuts

wine, e.g., rice

Worcestershire sauce, vegetarian

yams",Volume: moderate/loud (when young)–loud/very loud (when older),"Tips: Put in boiling water (never cold water, which “sets” the bitterness). Combine with miso or with other, milder-tasting vegetables to neutralize mustard greens’ loudness.","Possible substitutes: chard, escarole, kale, spinach",Nutritional profile: 69% carbs / 25% protein / 6% fat,"Calories: 15 per 1-cup serving (raw, chopped)",Season: winter–spring,Botanical relatives: cabbage,Protein: 2 grams,,
"GREENS, SALAD—IN GENERAL AND MIXED (e.g., MESCLUN) (see also ARUGULA, ENDIVE, ESCAROLE, FRISÉE, LETTUCE, MCHE, MIZUNA, RADICCHIO, SALAD DRESSINGS, SPINACH, WATERCRESS, etc.)",,Flavor Affinities,,"Dishes


Orchard Salad: Mesclun Lettuces, Seasonal Fruit, Toasted Pecans, Dried Bing Cherries, and Sourdough Croutons, tossed in a Rosemary Vinaigrette

—Angelica Kitchen (New York City)



Mesclun Greens, Green Olives, Toasted Almonds, Lemon-Caper Vinaigrette

—True Bistro (Somerville, MA)","almonds

anise seeds

apples

avocados

basil

beets

blackberries

capers

celery

cheese, e.g., blue, Brie, goat, Gorgonzola

chervil

chives

cilantro

cranberries, dried

croutons

dill

fennel

garlic

hazelnuts

honey

lemon, e.g., juice

lentils

mâche

mangoes

marjoram

mint

mustard, e.g., Dijon, dry

nuts

oil, e.g., flaxseed, grapeseed, olive

onions, red

oranges, e.g., blood

parsley

pears

pepper, e.g., black

pine nuts

pistachios

potatoes, e.g., new

radishes

rice

SALADS, e.g., grain, green, potato

salt, e.g., sea

savory

sesame seeds

shallots

tamari

tarragon

thyme

tofu

veggie burgers

vinegar, e.g., balsamic, red wine, sherry, white wine

walnuts",,"Tip: Rinse well, and serve raw.",,,,"Orchard Salad: Mesclun Lettuces, Seasonal Fruit, Toasted Pecans, Dried Bing Cherries, and Sourdough Croutons, tossed in a Rosemary Vinaigrette

—Angelica Kitchen (New York City)",,,"What they are: encompasses all greens that may be served raw in salads, including lettuces (which are almost always best served raw)",
"GREENS, TURNIP",,Flavor Affinities,"Techniques: blanch first, then sauté or steam; boil or braise older, tougher greens; otherwise, bake, sauté, wilt","Dishes


Turnip Greens, Garlic, Chiles, Mint, and Pecorino

—Heirloom at the Study (New Haven, CT)","apples

beans, e.g., pinto, white

black-eyed peas

bread crumbs

butter

cayenne

cheese, e.g., Parmesan, pecorino

chickpeas

chiles and chili pepper flakes

coconut and coconut milk

cream

cumin

curry powder

dashi

eggs

GARLIC

ginger

grains

lemon, e.g., juice, zest

lime

mint

miso

mushrooms, e.g., oyster

mustard, e.g., Dijon

noodles, Asian, e.g., somen

oil, olive

olives, e.g., black

onions

orange

parsley

pastas

pecans

potatoes

rice

saffron

salads

salt, e.g., kosher

“sausage”

sesame, e.g., oil, seeds

soups, e.g., bean, potato, root vegetable

Southern (U.S.) cuisine

soy sauce

stock, vegetable

sweet potatoes

tofu

tomatoes

turmeric

turnips

vinegar, e.g., apple cider

walnuts

wine, dry white",Volume: loud,,,Nutritional profile: 81% carbs / 11% protein / 8% fat,"Calories: 20 per 1-cup serving (raw, chopped)",Season: autumn–winter,,Protein: 1 gram,,
GRILLING,,,,,"artichokes

asparagus

bell peppers

bok choy

breads

carrots

corn, e.g., on the cob (in husks)

eggplant

endive

fennel

garlic

kebabs, e.g., fruit, mushrooms, tofu, vegetables, etc.

leeks

mushrooms, e.g., portobello

onions

peaches

pineapple

pizzas

potatoes

quesadillas

rosemary

squash, e.g., summer

sweet potatoes

tofu

tomatoes

vegetables, root

zucchini",,,,,,,,,,
GRITS,,,"Techniques: bake, boil (about 15–40 minutes), simmer","Dishes


Tortellini of Carolina Gold Rice Grits, Fall Vegetables, and Butternut Butter Sauce

—The Point (Saranac Lake, NY)","butter

cayenne

cereals, hot breakfast

chard

cheese, e.g., cheddar, Parmesan, pecorino, ricotta salata

chiles, e.g., green; chili pepper flakes and chili pepper sauce

cilantro

corn

cream

eggs

fruit

garlic

greens, e.g., collard

kale

maple syrup

mascarpone

milk

molasses

nutmeg

oil, olive

onions, e.g., sweet, yellow

paprika

pepper, e.g., black

polenta

porridges

puddings

salt, e.g., kosher, sea

scallions

seeds, sunflower

Southern (U.S.) cuisine

stock, e.g., corn, vegetable

vinegar, e.g., apple cider

watercress

wine, e.g., dry white",,"Tip: Look for coarse stone-ground grits, which contain bran and germ.",,Nutritional profile: 89% carbs / 8% protein / 3% fat,Calories: 145 per 1-cup serving (cooked with water),,,Protein: 3 grams,,
"GUAVA, GUAVA JUICE (or NECTAR), and GUAVA PASTE",,Flavor Affinities,"Techniques: bake, juice, poach, raw",,"apples

baked goods, e.g., cakes, muffins, tarts

BANANAS

beverages, e.g., cocktails, juices

cashews

CHEESE, e.g., cream, farmer’s, goat, manchego, queso blanco

chili pepper sauce

chocolate, e.g., white

chutneys

cinnamon

citrus, e.g., lemon, lime, orange

cloves

coconut, coconut cream, and coconut milk

compotes

cream

desserts, e.g., cakes, cheesecakes

fruits, other tropical, e.g., kiwi, mango, papaya, pineapple, star fruit

ginger

greens, e.g., salad

hazelnuts

honey

Indian cuisine

jams and preserves

lemon

lime, e.g., zest

mangoes

mascarpone

mustard

nutmeg

nuts, e.g., cashews, macadamia

oil, olive

onions

orange

papayas

pears, e.g., Asian

phyllo dough

pineapple

plums

quince

raisins

rum

salads, e.g., fruit

sauces

smoothies

sorbets

South American cuisine

soy sauce

stock, vegetable

strawberries

sugar, e.g., brown

tamales

vanilla

vinegar, e.g., balsamic

wine, e.g., sparkling

yogurt, e.g., low-fat","Volume: quiet (e.g., fresh)–moderate (e.g., sweet guava paste)",,,Nutritional profile: 75% carbs / 13% protein / 12% fat,Calories: 115 per 1-cup serving (raw),Season: summer–autumn,,Protein: 4 grams,,
HAZELNUTS (aka FILBERTS),,Flavor Affinities,"Techniques: roast (275°F for 20–30 minutes), toast (350°F for 5 minutes)","Dishes


Hazelnut Caramel Bombe: Dark Chocolate Mousse, Hazelnut Praline, Chocolate Cake, and Chocolate Glaze

—Portobello (Portland, OR)","almonds

apples

apricots, e.g., dried

artichokes

arugula

asparagus

BAKED GOODS, e.g., biscotti, cakes, cookies, pies

bananas

beans, e.g., green

beets

berries, e.g., blackberries, blueberries

Brussels sprouts

caramel

cauliflower

celery root

cereals, hot breakfast

CHEESE, e.g., blue, feta, goat, Gorgonzola, Gruyère, manchego, ricotta, Taleggio

cherries

CHOCOLATE, e.g., dark, white

chutneys

cinnamon

coffee and espresso

couscous

cranberries

cream and ice cream

desserts, e.g., crisps

dukkah

eggplant

endive

fennel

figs

frisée

fruits, e.g., dried, fresh

granola

grapes

greens, bitter, e.g., beet

greens, salad, e.g., mesclun

honey, e.g., chestnut

ice cream

kale

leeks

lentils

lettuce

liqueurs, e.g., almond

loaves

maple syrup

meringue

mint

mushrooms, e.g., morel, wild

oil, e.g., hazelnut, orange

oranges, e.g., mandarin, e.g., juice, zest

parsley

passion fruit

pastas

pâtés

peaches

PEARS

persimmons

pesto

pineapple

plums, dried

puddings

pumpkin

quinoa

radicchio

raisins

raspberries

rhubarb

risottos

rosemary

SALADS, e.g., fruit, green, spinach, tricolore

sauces, e.g., romesco

soups

Spanish cuisine

spinach

squash, winter, e.g., acorn, butternut

strawberries

stuffings

sugar, e.g., brown

sweet potatoes

toffee

tomatoes, sun-dried

trail bars

vanilla

veggie burgers

vinegar, e.g., balsamic, champagne, sherry, white wine

zucchini","Volume: quieter (e.g., raw)–louder (e.g., roasted)",,,Nutritional profile: 81% fat / 11% carbs / 8% protein,Calories: 360 per ½ cup (chopped),,,Protein: 8 grams,,
"HERBS, DRIED",,,,,,"Volume: typically louder than their fresh versions, so adjust accordingly","Tip: Use dried herbs early in the cooking process, as they need time to reconstitute and release their flavor.",,,,,,,,
HIZIKI (aka HIJIKI),[hee-ZEE-kee; hee-JEE-kee],Flavor Affinities,"Techniques: sauté, simmer (about 30–40 minutes)","Dishes


Cape Cod Cakes: Blend of Hiziki Seaweed, Tofu, and Herbs, served with Tartar Sauce

—V-Note (New York City)","Asian cuisines

beans, e.g., green

bell peppers, e.g., red, yellow

bok choy

Bragg Liquid Aminos

brown rice syrup

burdock

cabbage, napa

CARROTS

casseroles

cayenne

celery

cheese, Parmesan

chiles, e.g., jalapeño

cilantro

citrus

corn

“crabcakes,” vegetarian

edamame

eggplant

GARLIC

GINGER

grains

herbs

Japanese cuisine

leeks

lotus root

macrobiotic cuisine

mirin

miso, e.g., red

mushrooms, e.g., shiitake

NOODLES, ASIAN, e.g., brown rice or soba

oil, e.g., olive, sesame

onions, e.g., green, white, yellow

parsley

pâtés

peanuts

peas, green

rice, e.g., brown

salad dressings, e.g., miso

SALADS, e.g., green, noodle, sea vegetable

salt, sea

scallions

SESAME OIL

sesame seeds

shallots

SOUPS, e.g., miso

soybeans

SOY SAUCE

squash

stews

stir-fries

sugar, e.g., brown

sunflower seeds

tahini

tamari

tartar sauce

tempeh

TOFU

tomatoes, e.g., cherry

turnips

vegetables, esp. root, sweet

vinegar, e.g., brown rice, rice, umeboshi

water chestnuts

watercress

yams",Volume: moderate–loud,"Tips: Its grittiness requires it to be soaked (twice) in cold water for 10 minutes each time before use (discarding the gritty soaking water). Soaking will also tame its saltiness. Also, hiziki will expand fourfold, taking on the appearance of black angel hair pasta.",,,Calories: 5 per ½-cup serving,,,Protein: 1 gram,,
HOMINY,,Flavor Affinities,,,"avocado

beans, e.g., Anasazi, pinto, red

bell peppers

carrots

casseroles

celery

cheese, e.g., goat, Monterey Jack, queso fresco

CHILES, e.g., dried red, fresh green, jalapeño; chili pepper sauce and chili powder

cilantro

corn

cumin

garlic

lime

Mexican cuisine

mushrooms, e.g., portobello

Native American cuisine

oil, e.g., olive, sesame, sunflower, vegetable

ONIONS, e.g., white

OREGANO, MEXICAN

pepper, black

POSOLE, vegetarian

pumpkin seeds

radishes

sage

SOUPS

Southwest (U.S.) cuisine

squash, butternut

STEWS

stock, vegetable

thyme

tomatillos

tomatoes",Volume: quiet,,,,,,,,,
HONEY—IN GENERAL,,Flavor Affinities,Techniques: raw,,"apples

apricots

arugula

baked goods, e.g., biscuits, breads, cakes, cookies, muffins

bananas

beans, e.g., dried

beets

beverages, hot or iced, e.g., coffee, tea

breakfast dishes, e.g., cereals, French toast, pancakes, toast, waffles

butter

cardamom

carrots

CHEESE, e.g., blue, cream, goat, pecorino, ricotta

chestnuts

chiles, e.g., jalapeños

chocolate

cinnamon

citrus

cloves

coconut

couscous

cream

desserts, e.g., fruit

dips

fennel

FIGS

fruit, e.g., dried, fresh

ginger

grains, e.g., quinoa

granola

grapefruit

hazelnuts

lavender

LEMON, e.g., juice, zest

lentils

lime

marinades

mascarpone

melon, e.g., honeydew

mint

miso

MUSTARD, e.g., Dijon

nutmeg

NUTS, e.g., almonds, pecans, pistachios, walnuts

oats and oatmeal

orange, e.g., juice, zest

pears

pepper, black

plantains

plums

quince

quinoa

raisins

raspberries

rhubarb

rice

rosemary

salad dressings

salads, e.g., fruit, green

sandwiches, e.g., peanut butter

sauces, e.g., barbecue, peanut

seeds, e.g., pumpkin, sesame, sunflower

smoothies

soy sauce

spreads, e.g., for biscuits, breads

squash, winter, e.g., delicata

sugar, e.g., brown

tarragon

tofu

turnips

vanilla

vinegar, e.g., balsamic

yams

yogurt","Volume: quieter (e.g., acacia < clover)–louder (e.g., wildflower < buckwheat)","Tip: As a general rule, the darker the color of the honey, the greater its nutritional value (e.g., antioxidants, minerals, vitamins).","Possible substitutes: agave nectar, brown rice syrup, maple syrup, molasses",Nutritional profile: 100% carbs,Calories: 65 per tablespoon,,,,,
"HONEY, VEGAN (see also HONEY)",,Flavor Affinities,"Techniques: grate, shred",,"apples and applesauce

arugula

avocado

beans, e.g., adzuki, baked beans, green, purees

BEETS and beet juice

Bloody Marys

butter

cabbage

carrots

cauliflower

celery

cheese

chilled dishes

chives

cream

crème fraîche

cucumbers

dill

dips

eggs, e.g., hard-boiled

(Central and Northern) European cuisines

garlic

greens, bitter, e.g., beet

ketchup

lemon, e.g., juice, zest

lime, e.g., juice, zest

mascarpone

mayonnaise

miso, e.g., light

mushrooms, e.g., porcini

mustard, e.g., Dijon

oil, olive

onions

parsley

parsnips

pasta, e.g., gnocchi

peas, e.g., green

pepper, black

potatoes

ramps

relishes

rosemary

sage

salad dressings

salads, e.g., grain, macaroni, potato

salt

sandwiches

SAUCES, e.g., creamy

scallions

sorrel

SOUR CREAM

soy sauce

sugar, brown

tempeh

thyme

tofu, e.g., silken

tomatoes, tomato juice, and sun-dried tomatoes

vegetables, root

veggie burgers

VINEGAR, e.g., apple cider, balsamic, red wine, white wine

watercress

YOGURT

zucchini",Volume: very loud,Tips: Add just before serving. Opt for white (not pink) horseradish.,"Possible substitutes: agave nectar, maple syrup",,,Season: summer–autumn,"Botanical relatives: broccoli, Brussels sprouts, cabbage, cauliflower, collard greens, kale, kohlrabi, land cress, mustard, radishes, rutabagas, turnips, watercress",,,Brand: Bee Free Honee
HUCKLEBERRIES,,"Flavor: sour/sweet, with notes of blueberries",,"Dishes


Golden Russet Pear Tart with Huckleberries and Crème Fraîche

—Chez Panisse (Berkeley, CA)



Huckleberry Pear Crisp with Walnut Streusel and Cinnamon Soy Gelato

—Greens Restaurant (San Francisco)



Apple Huckleberry Galette with Huckleberry Compote and Crème Fraîche Ice Cream

—Greens Restaurant (San Francisco)



Banana and Huckleberry “Twinkie”: Angel Food “Génoise,” Banana Custard, Huckleberry Jam, and Banana-Crème Fraîche Sherbet

—Per Se (New York City)



Huckleberry “Cheesecake”: Huckleberry Gelée and Graham Cracker Crumble

—Picholine (New York City)","agave nectar

apples

bananas

buttermilk

cheese, cream, e.g., low-fat

cheesecake

cinnamon

coulis

crème fraîche

desserts, e.g., cobblers, crisps, custards, galettes, ice creams, panna cottas, pastries, pies, soufflés, tarts

graham crackers

jams

lemons, e.g., Meyer

lime, e.g., juice

orange

pancakes, e.g., buckwheat

pears

pine nuts

puddings, e.g., bread

sugar

walnuts",Volume: moderate–loud,,Possible substitute: blueberries,Nutritional profile: 94% carbs / 4% protein / 2% fat,Calories: 10 per 1-ounce serving (raw),Season: summer,,,,
HUITLACOCHE,[weet-lah-COH-chay],Flavor Affinities,,"Dishes


Huitlacoche y Hongos: Just-Made Tortillas with Organic Otter Creek Cheddar, Nichols Farm Huitlacoche, Local Woodland Mushrooms, and Herby Roasted Tomatillo Salsa

—Topolobampo (Chicago)","avocado

Central American cuisines

cheese, e.g., cotija, goat, queso bianco

chiles

chiles rellenos

chocolate

cilantro

corn

crêpes

empanadas

epazote

garlic

ice cream

lettuce

lime

Mexican cuisine

mushrooms, e.g., wild

onions

quesadillas

soups

stews

sweet potatoes

tacos

tamales

tortillas, e.g., corn

vanilla

zucchini blossoms",Volume: quiet–moderate,,,,,,,,,
INDIAN CUISINE,,,,,"allspice

almonds

anise seeds

beans

breads, esp. in northern India

cardamom

cashews

cassia (or cinnamon)

cauliflower

cayenne

cheese, e.g., paneer

chickpeas

chiles

cilantro, esp. in southern India

cinnamon

cloves

coconut, esp. in desserts and southern India

coriander

cumin, esp. in northern India

CURRIES

curry leaves, curry powder, and curry spices

dosas

eggplant

fennel seeds

fenugreek

garam masala (Indian spice blend that often includes bay leaf, black pepper, cardamom, cassia/ cinnamon, cloves, coriander, cumin, fennel, and/or nutmeg)

garlic, esp. in northern India

ghee (clarified butter)

ginger, esp. in northern India

herbs

lentils

mint

mustard seeds, esp. in southern India

nutmeg

oil, e.g., canola, grapeseed

onions

paprika

peas

pepper, e.g., black

pistachios, esp. in desserts

poppy seeds

potatoes

rice, basmati, esp. in southern India

saffron

sage

sauces, e.g., raita

SPICES

spinach

star anise

sugar, palm

tamarind, esp. in southern India

tomatoes

turmeric

vegetables, esp. in southern India

wheat, esp. in northern India

yogurt",,"Tip: India is considered the world’s leading country for vegetarianism, which is espoused by an estimated 20–42 percent of its population.",,,,,,,,
INDONESIAN CUISINE,,Flavor Affinities,,,"chiles

coconut

coriander

garlic

grilled dishes

lemongrass

molasses

noodles

peanuts and peanut sauces

pepper

rice

satays, i.e., skewers

seitan

soy sauce

spices, e.g., cloves, nutmeg, pepper

stir-fries

sugar, e.g., brown

tamarind

tempeh

vegetables",,,,,,,,,,
IRISH MOSS,,"Flavor Affinities

Irish moss + almond milk + banana + cinnamon + vanilla

Irish moss + cacao nibs + coconut + coconut milk

Irish moss + garlic + hemp seeds + herbs + lemon juice",,,"almond milk

bananas

breads

cacao and chocolate

cheeses, vegan (e.g., nut-based)

cinnamon

coconut and coconut milk

creams, dessert (e.g., vegan whipped)

desserts, e.g., creamy, custards, flans, mousses, pies

ice creams

jams and jellies

salad dressings, creamy, e.g., ranch

smoothies

soups

stocks

tiramisu

vanilla

yogurt, vegan, e.g., nut-based",Volume: quiet,"Tips: Rinse very well (as it can be sandy in its raw form), and soak in cold water overnight or longer before using.",,Nutritional profile: 89% carbs / 8% protein / 3% fat,Calories: 15 per 1-ounce serving,,,,,
ISRAELI CUISINE (see also MEDITERRANEAN CUISINES),,,,,"beans, e.g., fava

beets

bell peppers, red

bread, e.g., pita

cheese, e.g., feta

chickpeas, e.g. hummus

couscous, Israeli

dips

eggplant, e.g. baba ghanoush

falafel

harissa

honey

salads, e.g., cucumber, tabbouleh, tomato

sandwiches, e.g., sabich (eggplant + hard-boiled egg + hummus), seitan shawarma

tahini

tomatoes

yogurt, e.g., strained (aka labneh)

za’atar",,,,,,,,,,
"ITALIAN CUISINE, NORTHERN",,,,,"asparagus

basil

beans

butter

cheeses, e.g., Asiago, Fontina, Gorgonzola, Parmesan, Taleggio

cream and cream-based sauces

hazelnuts

lemon, e.g., juice

mascarpone

nuts

pasta, esp. fresh, richer egg-based or ribbon-shaped (e.g., fettuccine, linguini, ravioli), often combined with other starches, such as beans

pesto

pine nuts

polenta

potatoes

rice, e.g., Arborio, carnaroli; and risottos

rosemary

sage

sauces, e.g., cream-based

truffles, white

vinegar, esp. balsamic, wine

wine, e.g., Marsala, red, white",,,,,,,,,,
"ITALIAN CUISINE, SOUTHERN",,,,,"artichokes

basil

bell peppers

cheese, e.g., mozzarella, ricotta

chiles and chili pepper flakes

cinnamon

eggplant

fennel

garlic

herbs

marjoram

nutmeg

oil, olive

olives

oregano

pasta, esp. dried, tube-shaped, and served with tomato sauce

pizza, e.g., Neopolitan

raisins

sauces, e.g., red tomato-based

tomatoes and tomato sauce

wine

zucchini",,,,,,,,,,
"JACKFRUIT, UNRIPE GREEN",,Flavor Affinities,,"Dishes


Dum Biryani: A time-honored Mughal Rice Dish, slowly baked in a Handi Pot sealed with Naan Dough: Jackfruit, Potatoes, and whole Spices

—Tulsi (New York City)","Asian cuisines

bananas

barbecue dishes

barbecue sauce

bay leaf

bell peppers

biryani

butter or Earth Balance “butter”

carnitas

carrots

cashews

cauliflower

chiles, e.g., chipotle, green; and chili powder

chili, vegetarian

Chinese cuisine

cilantro

coconut milk

coriander

“crabcakes”

cumin

curries, e.g., Indian, Thai

desserts, i.e., made with ripe jackfruit

enchiladas

garam masala

garlic

ginger

gyros

Indian cuisine

Kaffir lime leaf

leeks

lemon, e.g., juice

lemongrass

lime, e.g., juice

Malaysian cuisine

molasses

mushrooms

nachos

oil, e.g., canola

onions, e.g., red, white

oregano

pasta

peas, green

potatoes

rice, e.g., basmati

sandwiches, e.g., baos, “pulled pork,” “Reuben”

smoke, liquid

Southeast Asian cuisines

soy sauce

stews

stock, vegetable

tacos

tomatoes, tomato paste, and tomato sauce

tortillas, e.g., corn

turmeric

wine, e.g., dry",Volume: quiet,"Tips: Look in Asian or Indian markets for unripe (aka green or young) jackfruit in cans (packed in brine, not sweet syrup!) or frozen (packed in brine). Chef Susan Feniger prefers using shredded and cooked jackfruit to processed faux meats in Street’s vegan dishes such as baos and tacos. She has found that jackfruit takes on whatever flavors it’s cooked with and even fools meat eaters. You’ll typically want to rinse, drain, and shred before using; alternatively, cut into bite-sized triangles, as you would pineapple. Jackfruit is the world’s largest tree fruit and can grow up to three feet long. Keep an eye out for products from Annie Ryu’s Global Village Fruits.",,Nutritional profile: 92% carbs / 5% protein / 3% fat,"Calories: 155 per 1-cup serving (sliced, raw)",Season: summer,,Protein: 2 grams,,
JAGGERY,,Flavor Affinities,,,"almonds

bananas

beverages, e.g., coffee, tea

breads

candies

cardamom

cashews

chickpeas

coconut milk

desserts, e.g., puddings

Indian cuisine

milk

peanuts

raisins

rice

syrups

yogurt",Volume: quiet–moderate,,Possible substitute: dark brown sugar,,,,,,,
